client_name,street,city,country
"Acme, Inc.",Main Street 12,Berlin,Germany
Brighter Solutions,Rue de la Loi 150,Brussels,Belgium
Nordic Tech Group,Storgata 5,Oslo,Norway
Southern Cross Ltd,George St 22,Sydney,Australia
Café Café,Avenida Paulista 1000,São Paulo,Brazil
"Global Holdings, LLC",Fifth Avenue 350,New York,United States
Emerald Island Co.,O'Connell Street 1,Dublin,Ireland
Techies & Co.,Market Street 55,San Francisco,United States
Alpine Sports,Bahnhofstrasse 10,Zurich,Switzerland
Eastern Star,Nathan Road 200,Hong Kong,China
